,Opponent,Position,xG,Difficulty_xG,Av_GW_Points,Difficulty_points,FD_combined
100,LEI (A),MID,2.5,1,3.33,4,2
101,LEI (H),MID,1.55,3,5.18,1,2
102,LIV (A),MID,0.925,4,2.12,5,5
103,LIV (H),MID,1.567,3,3.05,5,5
104,MCI (A),MID,1.833,2,3.03,5,4
105,MCI (H),MID,1.675,2,3.32,4,4
106,MUN (A),MID,0.95,4,3.62,3,4
107,MUN (H),MID,1.967,1,3.26,4,3
108,NEW (A),MID,1.25,3,3.27,4,4
109,NEW (H),MID,1.3,4,3.61,3,3
110,NFO (A),MID,0.95,4,3.2,4,4
111,NFO (H),MID,1.367,3,4.08,2,3
112,SOU (A),MID,3.225,1,4.31,2,2
113,SOU (H),MID,1.933,1,5.27,1,2
114,TOT (A),MID,1.425,3,3.22,4,4
115,TOT (H),MID,0.933,5,3.56,3,3
116,WHU (A),MID,2.167,1,4.68,1,2
117,WHU (H),MID,1.95,1,4.26,2,2
118,WOL (A),MID,2,1,4.63,1,2
119,WOL (H),MID,1.1,5,4.81,1,2
120,ARS (A),FWD,0.467,5,2.65,5,5
121,ARS (H),FWD,1.35,4,3.1,5,4
122,AVL (A),FWD,0.9,4,3.42,4,4
123,AVL (H),FWD,1.925,2,4.34,2,2
124,BHA (A),FWD,1.5,2,3.47,3,3
125,BHA (H),FWD,1.3,4,3.68,3,3
126,BOU (A),FWD,0.775,5,2.85,5,5
127,BOU (H),FWD,1.267,5,4.38,2,4
128,BRE (A),FWD,1.633,2,3.79,3,2
129,BRE (H),FWD,1.55,3,4.51,1,2
130,CHE (A),FWD,1.433,2,3.53,3,3
131,CHE (H),FWD,1.7,2,3,5,4
132,CRY (A),FWD,0.867,5,3.62,3,4
133,CRY (H),FWD,1.675,2,4.03,2,2
134,EVE (A),FWD,0.6,5,3.39,4,5
135,EVE (H),FWD,1.3,4,4.66,1,3
136,FUL (A),FWD,0.875,4,4.08,2,3
137,FUL (H),FWD,1.067,5,2.97,5,5
138,IPS (A),FWD,1.425,3,4.21,2,2
139,IPS (H),FWD,2.4,1,5.28,1,2
140,LEI (A),FWD,2.5,1,3.33,4,2
141,LEI (H),FWD,1.55,3,5.18,1,2
142,LIV (A),FWD,0.925,4,2.12,5,5
143,LIV (H),FWD,1.567,3,3.05,5,5
144,MCI (A),FWD,1.833,2,3.03,5,4
145,MCI (H),FWD,1.675,2,3.32,4,4
146,MUN (A),FWD,0.95,4,3.62,3,4
147,MUN (H),FWD,1.967,1,3.26,4,3
148,NEW (A),FWD,1.25,3,3.27,4,4
149,NEW (H),FWD,1.3,4,3.61,3,3
150,NFO (A),FWD,0.95,4,3.2,4,4
151,NFO (H),FWD,1.367,3,4.08,2,3
152,SOU (A),FWD,3.225,1,4.31,2,2
153,SOU (H),FWD,1.933,1,5.27,1,2
154,TOT (A),FWD,1.425,3,3.22,4,4
155,TOT (H),FWD,0.933,5,3.56,3,3
156,WHU (A),FWD,2.167,1,4.68,1,2
157,WHU (H),FWD,1.95,1,4.26,2,2
158,WOL (A),FWD,2,1,4.63,1,2
159,WOL (H),FWD,1.1,5,4.81,1,2
