Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
71,Justin,Kluivert,Bournemouth,MID,55,3,79,2024-12-16T20:00:00Z,0,0,1,0,0,0,0,0,0,0,7,5.8,3.4,14.0,2.3,0.10,0.03,0.13,1.25,95025,52468,16,WHU (H),2
72,Chris,Mepham,Bournemouth,DEF,44,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,48,16,WHU (H),2
74,Dango,O.Dango,Bournemouth,MID,50,2,90,2024-12-16T20:00:00Z,0,0,0,1,0,0,0,0,0,0,12,39.8,40.4,63.0,14.3,0.38,0.15,0.53,2.18,2343,265,16,WHU (H),2
75,Alex,Paulsen,Bournemouth,GK,40,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,56,16,WHU (H),2
76,Philip,Philip,Bournemouth,MID,48,1,10,2024-12-16T20:00:00Z,0,0,0,1,0,0,0,0,0,0,5,5.4,20.5,7.0,3.3,0.31,0.03,0.34,0.93,190,220,16,WHU (H),2
77,Alex,Scott,Bournemouth,MID,47,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,21,96,16,WHU (H),2
78,Antoine,Semenyo,Bournemouth,MID,57,3,67,2024-12-16T20:00:00Z,0,0,1,0,0,0,0,0,0,0,8,8.8,12.9,56.0,7.8,0.39,0.06,0.45,1.03,43722,67225,16,WHU (H),2
79,Marcos,Senesi,Bournemouth,DEF,48,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,41,13918,16,WHU (H),2
80,Luis,Sinisterra,Bournemouth,MID,49,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,21,858,16,WHU (H),2
81,Adam,Smith,Bournemouth,DEF,45,6,67,2024-12-16T20:00:00Z,0,0,1,0,0,0,0,0,0,0,18,4.8,1.7,2.0,0.9,0.00,0.00,0.00,1.03,1819,1340,16,WHU (H),2
83,Marcus,Tavernier,Bournemouth,MID,55,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1973,11855,16,WHU (H),2
84,Mark,Travers,Bournemouth,GK,44,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,423,800,16,WHU (H),2
85,Illia,Zabarnyi,Bournemouth,DEF,44,2,90,2024-12-16T20:00:00Z,0,0,0,1,0,0,0,0,0,0,10,19.8,0.9,7.0,2.8,0.12,0.00,0.12,2.18,7812,1880,16,WHU (H),2
152,Kepa,Arrizabalaga,Bournemouth,GK,45,2,90,2024-12-16T20:00:00Z,0,0,0,1,0,0,0,0,2,0,12,20.4,0.0,0.0,2.0,0.00,0.00,0.00,2.18,21209,5555,16,WHU (H),2
580,Dean,Huijsen,Bournemouth,DEF,43,2,90,2024-12-16T20:00:00Z,0,0,0,1,0,0,0,0,0,0,11,23.6,13.8,2.0,3.9,0.00,0.01,0.01,2.18,40226,2844,16,WHU (H),2
592,Julián,J.Araujo,Bournemouth,DEF,43,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,21,711,16,WHU (H),2
599,Will,Dennis,Bournemouth,GK,40,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,361,921,16,WHU (H),2
617,Francisco Evanilson,Evanilson,Bournemouth,FWD,61,2,79,2024-12-16T20:00:00Z,0,0,1,0,0,0,0,0,0,0,13,7.4,32.7,46.0,8.6,0.13,0.31,0.44,1.25,51426,52575,16,WHU (H),2
