Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
44,Ezri,Konsa,Aston Villa,DEF,45,1,90,2024-11-09T20:00:00Z,0,0,0,2,0,0,0,0,0,0,6,11.4,1.4,2.0,1.5,0.00,0.00,0.00,2.02,6984,96662,11,LIV (A),5
45,Ian,Maatsen,Aston Villa,DEF,47,1,16,2024-11-09T20:00:00Z,0,0,0,1,0,0,0,0,0,0,4,6.2,11.4,2.0,2.0,0.00,0.02,0.02,0.67,908,9661,11,LIV (A),5
46,Filip,Marschall,Aston Villa,GK,40,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,1,11,LIV (A),5
47,Emiliano,Martinez,Aston Villa,GK,50,2,90,2024-11-09T20:00:00Z,0,0,0,2,0,0,0,0,3,0,6,19.6,0.0,0.0,2.0,0.00,0.00,0.00,2.02,19819,82031,11,LIV (A),5
48,John,McGinn,Aston Villa,MID,52,1,45,2024-11-09T20:00:00Z,0,0,0,1,0,0,0,0,0,0,5,7.8,15.7,4.0,2.8,0.05,0.11,0.16,1.21,2215,3580,11,LIV (A),5
49,Tyrone,Mings,Aston Villa,DEF,44,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,938,413,11,LIV (A),5
50,Kosta,Nedeljkovic,Aston Villa,DEF,40,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,496,7015,11,LIV (A),5
51,Robin,Olsen,Aston Villa,GK,45,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,174,349,11,LIV (A),5
52,Pau,Pau,Aston Villa,DEF,45,1,90,2024-11-09T20:00:00Z,0,0,0,2,0,0,0,0,0,0,6,19.0,0.7,6.0,2.6,0.00,0.07,0.07,2.02,2089,18414,11,LIV (A),5
53,Jacob,Ramsey,Aston Villa,MID,54,1,45,2024-11-09T20:00:00Z,0,0,0,1,0,0,0,0,0,0,4,0.0,0.9,9.0,1.0,0.12,0.01,0.13,0.81,1318,2725,11,LIV (A),5
54,Morgan,Rogers,Aston Villa,MID,54,1,90,2024-11-09T20:00:00Z,0,0,0,2,0,0,1,0,0,0,-1,4.0,28.8,8.0,4.1,0.19,0.03,0.22,2.02,94131,156957,11,LIV (A),5
55,Viljami,Sinisalo,Aston Villa,GK,40,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,1,11,LIV (A),5
56,Lino,Sousa,Aston Villa,DEF,40,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,273,11,LIV (A),5
57,Youri,Tielemans,Aston Villa,MID,55,1,90,2024-11-09T20:00:00Z,0,0,0,2,0,0,1,0,0,0,19,23.8,43.5,0.0,6.7,0.00,0.15,0.15,2.02,4597,17893,11,LIV (A),5
58,Ollie,Watkins,Aston Villa,FWD,90,2,64,2024-11-09T20:00:00Z,0,0,0,1,0,0,0,0,0,0,1,0.0,2.1,21.0,1.7,0.36,0.01,0.37,1.18,30664,440923,11,LIV (A),5
233,Amadou,Onana,Aston Villa,MID,50,2,73,2024-11-09T20:00:00Z,0,0,0,1,0,0,0,0,0,0,13,19.8,1.5,33.0,5.4,0.15,0.00,0.15,1.35,6920,73529,11,LIV (A),5
569,Jaden,Jaden,Aston Villa,MID,53,1,25,2024-11-09T20:00:00Z,0,0,0,1,0,0,0,0,0,0,-3,0.0,0.4,11.0,0.8,0.17,0.00,0.17,0.84,122,173,11,LIV (A),5
598,Lamare,Bogarde,Aston Villa,DEF,40,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,321,1936,11,LIV (A),5
640,Sil,Swinkels,Aston Villa,DEF,40,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,196,303,11,LIV (A),5
641,Oliwier,Zych,Aston Villa,GK,40,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,5391,2499,11,LIV (A),5
656,Kadan,Young,Aston Villa,MID,45,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1554,2552,11,LIV (A),5
59,Max,Aarons,Bournemouth,DEF,43,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,375,653,11,BRE (A),3
