,Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Form,Gameweek,Avail,GW16,GW17,GW18,GW19,GW20,NGW1,NGW2,NGW3,NGW4,NGW5,F_1,F_2,F_3,F_4,F_5,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
7379,492,Antoñito,Cordero Campillo,Newcastle,MID,49.0,0.0,1.06,15.0,u,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,1.59,0.636,0.53,0.4543,0.3533
7394,493,Sean,Longstaff,Leeds,MID,49.0,0.0,1.1,15.0,i,BRE (A),CRY (H),SUN (A),LIV (A),MUN (H),0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0,1.6666666666666665,1.9999999999999998,1.9999999999999998,3.3,1.1,0.66,0.55,0.55
7409,494,Joe,Willock,Newcastle,MID,50.0,3.0,1.1600000000000001,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,1.74,0.696,0.58,0.4971,0.3867
7424,495,Isaac,Hayden,Newcastle,MID,45.0,0.0,1.06,15.0,u,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,1.59,0.636,0.53,0.4543,0.3533
7439,496,Garang,Kuol,Newcastle,MID,44.0,0.0,1.06,15.0,u,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,1.59,0.636,0.53,0.4543,0.3533
7454,497,Lewis,Miley,Newcastle,MID,44.0,1.0,1.42,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,2.13,0.852,0.71,0.6086,0.4733
7469,498,Joe,White,Newcastle,MID,45.0,0.0,1.06,15.0,u,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,1.59,0.636,0.53,0.4543,0.3533
7484,499,Alexander,Isak,Liverpool,FWD,104.0,1.0,1.3,15.0,a,BHA (H),TOT (A),WOL (H),LEE (H),FUL (A),0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,inf,3.9,3.9,3.9,0.975
7499,500,William,Osula,Newcastle,FWD,54.0,0.0,1.06,15.0,i,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,1.59,0.636,0.53,0.4543,0.3533
7514,501,Sean,Neave,Newcastle,FWD,44.0,0.0,1.06,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,1.59,0.636,0.53,0.4543,0.3533
7529,502,Matz,Sels,Nott'm Forest,GK,47.0,2.0,1.4000000000000001,15.0,d,TOT (H),FUL (A),MCI (H),EVE (H),AVL (A),1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,1.6666666666666665,2.333333333333333,2.6666666666666665,2.6666666666666665,1.4,0.84,0.6,0.525,0.525
7544,503,Carlos Miguel,dos Santos Pereira,Nott'm Forest,GK,40.0,0.0,1.06,15.0,u,TOT (H),FUL (A),MCI (H),EVE (H),AVL (A),1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,1.6666666666666665,2.333333333333333,2.6666666666666665,2.6666666666666665,1.06,0.636,0.4543,0.3975,0.3975
7559,504,Matt,Turner,Nott'm Forest,GK,40.0,0.0,1.06,15.0,u,TOT (H),FUL (A),MCI (H),EVE (H),AVL (A),1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,1.6666666666666665,2.333333333333333,2.6666666666666665,2.6666666666666665,1.06,0.636,0.4543,0.3975,0.3975
7574,505,Nikola,Milenković,Nott'm Forest,DEF,52.0,0.0,1.36,15.0,a,TOT (H),FUL (A),MCI (H),EVE (H),AVL (A),1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,1.6666666666666665,2.333333333333333,2.6666666666666665,2.6666666666666665,1.36,0.816,0.5829,0.51,0.51
