,Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Form,Gameweek,Avail,GW16,GW17,GW18,GW19,GW20,NGW1,NGW2,NGW3,NGW4,NGW5,F_1,F_2,F_3,F_4,F_5,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
2984,199,Joe,Worrall,Burnley,DEF,39.0,1.0,1.08,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,2.0,3.24,1.62,1.08,1.08,0.54
2999,200,Jaidon,Anthony,Burnley,MID,54.0,1.0,1.22,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.22,1.22,0.915,0.61
3014,201,Manuel,Benson Hedilazio,Burnley,MID,54.0,0.0,1.06,15.0,u,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.06,1.06,0.795,0.53
3029,202,Jacob,Bruun Larsen,Burnley,MID,53.0,2.0,1.1600000000000001,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.16,1.16,0.87,0.58
3044,203,Enock,Agyei,Burnley,MID,48.0,0.0,1.06,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.06,1.06,0.795,0.53
3059,204,Darko,Churlinov,Burnley,MID,49.0,0.0,1.06,15.0,u,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.06,1.06,0.795,0.53
3074,205,Josh,Cullen,Burnley,MID,50.0,2.0,1.26,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.26,1.26,0.945,0.63
3089,206,Marcus,Edwards,Burnley,MID,47.0,1.0,1.1,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.1,1.1,0.825,0.55
3104,207,Hannibal,Mejbri,Burnley,MID,48.0,0.0,1.08,15.0,s,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.08,1.08,0.81,0.54
3119,208,Luca,Koleosho,Burnley,MID,50.0,0.0,1.06,15.0,u,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.06,1.06,0.795,0.53
3134,209,Josh,Laurent,Burnley,MID,48.0,0.0,1.1,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.1,1.1,0.825,0.55
3149,210,Loum,Tchaouna,Burnley,MID,49.0,0.0,1.1800000000000002,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.18,1.18,0.885,0.59
3164,211,Aaron,Ramsey,Burnley,MID,44.0,0.0,1.06,15.0,u,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.06,1.06,0.795,0.53
3179,212,Oluwaseun,Adewumi,Burnley,MID,45.0,0.0,1.06,15.0,u,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.06,1.06,0.795,0.53
3194,213,Jaydon,Banel,Burnley,MID,45.0,0.0,1.06,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.06,1.06,0.795,0.53
3209,214,Mike,Trésor Ndayishimiye,Burnley,MID,44.0,0.0,1.06,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.06,1.06,0.795,0.53
3224,215,Zian,Flemming,Burnley,FWD,53.0,5.0,1.34,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.34,1.34,1.005,0.67
3239,216,Zeki,Amdouni,Burnley,FWD,48.0,0.0,1.06,15.0,i,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.06,1.06,0.795,0.53
3254,217,Lyle,Foster,Burnley,FWD,50.0,1.0,1.1800000000000002,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.18,1.18,0.885,0.59
3269,218,Ashley,Barnes,Burnley,FWD,43.0,0.0,1.06,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.06,1.06,0.795,0.53
3284,219,Michael,Obafemi,Burnley,FWD,44.0,0.0,1.06,15.0,u,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,2.0,inf,1.06,1.06,0.795,0.53
3299,220,Robert,Lynch Sánchez,Chelsea,GK,48.0,10.0,1.46,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,4.38,1.095,1.095,0.73,0.4867
3314,221,Filip,Jörgensen,Chelsea,GK,43.0,0.0,1.06,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,3.18,0.795,0.795,0.53,0.3533
3329,222,Mike,Penders,Chelsea,GK,40.0,0.0,1.06,15.0,u,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,3.18,0.795,0.795,0.53,0.3533
3344,223,Gabriel,Słonina,Chelsea,GK,39.0,0.0,1.06,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,3.18,0.795,0.795,0.53,0.3533
3359,224,Marc,Cucurella Saseta,Chelsea,DEF,62.0,6.0,1.34,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,4.02,1.005,1.005,0.67,0.4467
3374,225,Reece,James,Chelsea,DEF,56.0,6.0,1.36,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,4.08,1.02,1.02,0.68,0.4533
3389,226,Trevoh,Chalobah,Chelsea,DEF,52.0,11.0,1.6,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,4.8,1.2,1.2,0.8,0.5333
3404,227,Levi,Samuels Colwill,Chelsea,DEF,48.0,0.0,1.06,15.0,i,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,3.18,0.795,0.795,0.53,0.3533
3419,228,Malo,Gusto,Chelsea,DEF,49.0,7.0,1.28,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,3.84,0.96,0.96,0.64,0.4267
3434,229,Benoît,Badiashile Mukinayi,Chelsea,DEF,44.0,0.0,1.06,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,3.18,0.795,0.795,0.53,0.3533
3449,230,Wesley,Fofana,Chelsea,DEF,44.0,9.0,1.32,15.0,d,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,3.96,0.99,0.99,0.66,0.44
3464,231,Mamadou,Sarr,Chelsea,DEF,45.0,0.0,1.06,15.0,u,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,3.18,0.795,0.795,0.53,0.3533
3479,232,Tosin,Adarabioyo,Chelsea,DEF,42.0,0.0,1.32,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,3.96,0.99,0.99,0.66,0.44
3494,233,Josh,Acheampong,Chelsea,DEF,39.0,0.0,1.06,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,3.18,0.795,0.795,0.53,0.3533
3509,234,Aarón,Anselmino,Chelsea,DEF,40.0,0.0,1.06,15.0,u,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,3.0,3.18,0.795,0.795,0.53,0.3533
3524,235,Cole,Palmer,Chelsea,MID,103.0,1.0,1.1,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.65,1.65,1.65,0.66
3539,236,Pedro,Lomba Neto,Chelsea,MID,72.0,2.0,1.42,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,2.13,2.13,2.13,0.852
3554,237,Enzo,Fernández,Chelsea,MID,67.0,3.0,1.42,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,2.13,2.13,2.13,0.852
3569,238,Estêvão,Almeida de Oliveira Gonçalves,Chelsea,MID,66.0,1.0,1.1,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.65,1.65,1.65,0.66
3584,239,Jamie,Bynoe-Gittens,Chelsea,MID,61.0,0.0,1.28,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.92,1.92,1.92,0.768
3599,240,Christopher,Nkunku,Chelsea,MID,59.0,0.0,1.06,15.0,u,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.59,1.59,1.59,0.636
3614,241,Moisés,Caicedo Corozo,Chelsea,MID,58.0,0.0,1.02,15.0,s,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.53,1.53,1.53,0.612
3629,242,Kiernan,Dewsbury-Hall,Everton,MID,50.0,16.0,1.84,15.0,a,CHE (A),ARS (H),BUR (A),NFO (A),BRE (H),1.0,1.0,0.3333333333333333,0.0,0.0,1.0,2.0,2.3333333333333335,2.3333333333333335,2.3333333333333335,1.84,0.92,0.7886,0.7886,0.7886
3644,243,Tyrique,George,Chelsea,MID,49.0,0.0,1.06,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.59,1.59,1.59,0.636
3659,244,Roméo,Lavia,Chelsea,MID,49.0,0.0,1.06,15.0,i,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.59,1.59,1.59,0.636
3674,245,Mykhailo,Mudryk,Chelsea,MID,49.0,0.0,1.06,15.0,s,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.59,1.59,1.59,0.636
3689,246,Andrey,Nascimento dos Santos,Chelsea,MID,45.0,0.0,1.2000000000000002,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.8,1.8,1.8,0.72
3704,247,Dário,Luís Essugo,Chelsea,MID,43.0,0.0,1.06,15.0,i,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.59,1.59,1.59,0.636
3719,248,Kendry,Páez Andrade,Chelsea,MID,45.0,0.0,1.06,15.0,u,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.59,1.59,1.59,0.636
3734,249,João Pedro,Junqueira de Jesus,Chelsea,FWD,74.0,1.0,1.1600000000000001,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.74,1.74,1.74,0.696
3749,250,Liam,Delap,Chelsea,FWD,62.0,1.0,1.1800000000000002,15.0,i,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.77,1.77,1.77,0.708
3764,251,Nicolas,Jackson,Chelsea,FWD,65.0,0.0,1.06,15.0,u,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.59,1.59,1.59,0.636
3779,252,Marc,Guiu Paz,Chelsea,FWD,42.0,0.0,1.1600000000000001,15.0,a,EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.74,1.74,1.74,0.696
3794,253,Dean,Henderson,Crystal Palace,GK,51.0,3.0,1.42,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,2.13,1.065,0.6086,0.5325,0.3873
3809,254,Walter,Benítez,Crystal Palace,GK,40.0,0.0,1.06,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,1.59,0.795,0.4543,0.3975,0.2891
3824,255,Remi,Matthews,Crystal Palace,GK,39.0,0.0,1.06,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,1.59,0.795,0.4543,0.3975,0.2891
3839,256,Daniel,Muñoz Mejía,Crystal Palace,DEF,61.0,0.0,1.6400000000000001,15.0,i,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,2.46,1.23,0.7029,0.615,0.4473
3854,257,Maxence,Lacroix,Crystal Palace,DEF,51.0,2.0,1.54,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,2.31,1.155,0.66,0.5775,0.42
3869,258,Tyrick,Mitchell,Crystal Palace,DEF,50.0,2.0,1.36,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,2.04,1.02,0.5829,0.51,0.3709
3884,259,Borna,Sosa,Crystal Palace,DEF,48.0,0.0,1.06,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,1.59,0.795,0.4543,0.3975,0.2891
3899,260,Marc,Guéhi,Crystal Palace,DEF,51.0,8.0,1.6,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,2.4,1.2,0.6857,0.6,0.4364
3914,261,Chris,Richards,Crystal Palace,DEF,46.0,4.0,1.46,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,2.19,1.095,0.6257,0.5475,0.3982
3929,262,Chadi,Riad Dnanou,Crystal Palace,DEF,40.0,0.0,1.06,15.0,d,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,1.59,0.795,0.4543,0.3975,0.2891
3944,263,Nathaniel,Clyne,Crystal Palace,DEF,38.0,2.0,1.1,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,1.65,0.825,0.4714,0.4125,0.3
3959,264,Rob,Holding,Crystal Palace,DEF,40.0,0.0,1.06,15.0,u,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,1.59,0.795,0.4543,0.3975,0.2891
3974,265,Caleb,Kporha,Crystal Palace,DEF,40.0,0.0,1.06,15.0,i,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,1.59,0.795,0.4543,0.3975,0.2891
3989,266,Eberechi,Eze,Arsenal,MID,78.0,1.0,1.54,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,2.31,2.31,2.31,0.924
4004,267,Ismaïla,Sarr,Crystal Palace,MID,65.0,0.0,1.1400000000000001,15.0,d,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.71,0.855,0.684,0.684,0.4886
4019,268,Cheick,Doucouré,Crystal Palace,MID,49.0,0.0,1.06,15.0,i,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.59,0.795,0.636,0.636,0.4543
4034,269,Romain,Esse,Crystal Palace,MID,47.0,0.0,1.06,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.59,0.795,0.636,0.636,0.4543
4049,270,Will,Hughes,Crystal Palace,MID,47.0,0.0,1.12,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.68,0.84,0.672,0.672,0.48
4064,271,Daichi,Kamada,Crystal Palace,MID,50.0,2.0,1.3,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.95,0.975,0.78,0.78,0.5571
4079,272,Jefferson,Lerma Solís,Crystal Palace,MID,49.0,1.0,1.2000000000000002,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.8,0.9,0.72,0.72,0.5143
4094,273,Adam,Wharton,Crystal Palace,MID,50.0,9.0,1.5,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,2.25,1.125,0.9,0.9,0.6429
4109,274,Asher,Agbinone,Crystal Palace,MID,44.0,0.0,1.06,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.59,0.795,0.636,0.636,0.4543
4124,275,Naouirou,Ahamada,Crystal Palace,MID,44.0,0.0,1.06,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.59,0.795,0.636,0.636,0.4543
4139,276,Justin,Devenny,Crystal Palace,MID,43.0,1.0,1.1400000000000001,15.0,d,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.71,0.855,0.684,0.684,0.4886
4154,277,Malcolm,Ebiowei,Crystal Palace,MID,45.0,0.0,1.06,15.0,u,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.59,0.795,0.636,0.636,0.4543
4169,278,Jesurun,Rak-Sakyi,Crystal Palace,MID,44.0,0.0,1.06,15.0,u,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.59,0.795,0.636,0.636,0.4543
4184,279,Matheus,França de Oliveira,Crystal Palace,MID,45.0,0.0,1.06,15.0,u,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.59,0.795,0.636,0.636,0.4543
4199,280,David,Ozoh,Crystal Palace,MID,45.0,0.0,1.06,15.0,u,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.59,0.795,0.636,0.636,0.4543
4214,281,Kaden,Rodney,Crystal Palace,MID,44.0,0.0,1.06,15.0,a,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.59,0.795,0.636,0.636,0.4543
4229,282,Franco,Umeh-Chibueze,Crystal Palace,MID,45.0,0.0,1.06,15.0,u,MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666665,1.6666666666666665,2.333333333333333,1.59,0.795,0.636,0.636,0.4543
