,Player ID,Name,Last_Name,Team,Position,Cost_Today,Minutes,Avail,Gameweek,Form_player_xG_norm,Form_TeamxG_against_norm,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
10349,368,Carlos Henrique,Casemiro,Man Utd,MID,47,90,a,28,2.128698224852071,2.7304347826086954,18.448717948717952,30.308608058608066,51.39285714285715,61.93498168498169,80.38369963369965
10377,369,Diogo,Dalot,Man Utd,DEF,50,90,a,28,2.350591715976331,2.7304347826086954,18.312101910828027,32.04617834394905,45.78025477707007,59.69745222929937,74.3471337579618
10405,370,Christian,Eriksen,Man Utd,MID,52,75,a,28,2.0,2.7304347826086954,17.0,27.92857142857143,47.35714285714286,57.07142857142858,74.07142857142858
10461,372,Alejandro,Garnacho,Man Utd,MID,59,90,a,28,2.2928994082840237,2.7304347826086954,21.400394477317555,35.15779092702169,59.61538461538461,71.84418145956607,93.24457593688362
10573,376,Victor,Lindelof,Man Utd,DEF,43,90,a,28,2.0,2.7304347826086954,18.312101910828027,32.04617834394905,45.78025477707007,59.69745222929937,74.3471337579618
10767,383,André,Onana,Man Utd,GK,50,90,a,28,2.0,2.808695652173913,17.80185758513932,31.15325077399381,44.504643962848306,58.03405572755419,72.27554179566565
10851,386,Jadon,Sancho,Chelsea,MID,62,90,a,28,2.033284023668639,2.1304347826086953,17.549177585235277,40.01212489433644,66.68687482389406,93.08083791208792,118.35165363482672
10907,388,Aaron,Wan-Bissaka,West Ham,DEF,44,90,a,28,2.0,2.5478260869565217,13.737201365187715,25.51194539249147,33.36177474402731,41.211604095563146,54.94880546075086
10935,389,Joshua,Zirkzee,Man Utd,FWD,65,75,a,28,2.6102071005917162,2.7304347826086954,23.05682938856016,37.87907685263455,64.22973901098902,77.40507009016625,100.46189947872641
11019,392,Harvey,Barnes,Newcastle,MID,59,78,a,28,2.2107988165680474,2.417391304347826,20.265655818540434,43.42640532544379,69.48224852071006,88.01084812623274,108.27650394477318
11075,394,Bruno,Bruno G.,Newcastle,MID,61,87,a,28,2.2840236686390534,2.417391304347826,23.982248520710062,51.3905325443787,82.22485207100593,104.15147928994084,128.1337278106509
